outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel
BABEL_BP_101_22898_20111022_141857_inLine.sph	22898	20111022	141857	22898	inLine	Guangxi_and_Western_Guangdong	M	HOME_OFFICE_LANDLINE	24	China_Telecom	Panasonic
BABEL_BP_101_22898_20111022_141857_outLine.sph	22898	20111022	141857	22898	outLine	Guangxi_and_Western_Guangdong	M	HOME_OFFICE_LANDLINE	24	China_Telecom	CHINO-E
BABEL_BP_101_99571_20111024_164204_inLine.sph	99571	20111024	164204	99571	inLine	Southern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	48	CMCC	Nokia
BABEL_BP_101_99571_20111024_164204_outLine.sph	99571	20111024	164204	99571	outLine	Southern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	48	China_Unicom	Nokia
BABEL_BP_101_66866_20111128_183933_outLine.sph	66866	20111128	183933	66866	outLine	Central_Guangdong	M	PUBLIC_PLACE	43	China_Unicom	Gionee
BABEL_BP_101_66866_20111128_183933_inLine.sph	66866	20111128	183933	66866	inLine	Central_Guangdong	M	STREET	48	CMCC	Philips
BABEL_BP_101_16617_20111030_144124_inLine.sph	16617	20111030	144124	16617	inLine	Northern_Guangdong	M	VEHICLE	28	CMCC	HTC
BABEL_BP_101_16617_20111030_144124_outLine.sph	16617	20111030	144124	16617	outLine	Northern_Guangdong	M	VEHICLE	28	CMCC	HTC
BABEL_BP_101_52366_20111018_140013_inLine.sph	52366	20111018	140013	52366	inLine	Central_Guangdong	M	HOME_OFFICE_MOBILE	29	CMCC	iPhone
BABEL_BP_101_52366_20111018_140013_outLine.sph	52366	20111018	140013	52366	outLine	Central_Guangdong	M	PUBLIC_PLACE	29	CMCC	Nokia
BABEL_BP_101_96630_20111104_005203_outLine.sph	96630	20111104	005203	96630	outLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	36	CMCC	Sony_Ericsson
BABEL_BP_101_96630_20111104_005203_inLine.sph	96630	20111104	005203	96630	inLine	Northern_Pearl_River_Delta	M	HOME_OFFICE_MOBILE	46	China_Telecom	Coolpad
BABEL_BP_101_10973_20111019_183249_inLine.sph	10973	20111019	183249	10973	inLine	Guangxi_and_Western_Guangdong	M	HOME_OFFICE_LANDLINE	33	China_Telecom	Panasonic
BABEL_BP_101_10973_20111019_183249_outLine.sph	10973	20111019	183249	10973	outLine	Guangxi_and_Western_Guangdong	M	HOME_OFFICE_LANDLINE	32	China_Telecom	CHINO-E
BABEL_BP_101_84540_20111102_204218_inLine.sph	84540	20111102	204218	84540	inLine	Southern_Pearl_River_Delta	F	CAR_KIT	40	CMCC	Philips
BABEL_BP_101_84540_20111102_204218_outLine.sph	84540	20111102	204218	84540	outLine	Southern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	42	CMCC	Nokia
BABEL_BP_101_81486_20111027_163851_inLine.sph	81486	20111027	163851	81486	inLine	Southern_Pearl_River_Delta	M	CAR_KIT	57	CMCC	Philips
BABEL_BP_101_81486_20111027_163851_outLine.sph	81486	20111027	163851	81486	outLine	Southern_Pearl_River_Delta	M	HOME_OFFICE_MOBILE	55	CMCC	Nokia
BABEL_BP_101_64889_20111124_220757_inLine.sph	64889	20111124	220757	64889	inLine	Guangxi_and_Western_Guangdong	M	HOME_OFFICE_MOBILE	19	CMCC	Sony_Ericsson
BABEL_BP_101_64889_20111124_220757_outLine.sph	64889	20111124	220757	64889	outLine	Guangxi_and_Western_Guangdong	M	HOME_OFFICE_MOBILE	19	CMCC	Motorola
BABEL_BP_101_14054_20111119_163712_outLine.sph	14054	20111119	163712	14054	outLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	50	CMCC	Samsung
BABEL_BP_101_14054_20111119_163712_inLine.sph	14054	20111119	163712	14054	inLine	Northern_Pearl_River_Delta	F	HOME_OFFICE_MOBILE	46	CMCC	Samsung
BABEL_BP_101_82217_20111115_191956_outLine.sph	82217	20111115	191956	82217	outLine	Central_Guangdong	F	HOME_OFFICE_MOBILE	50	CMCC	Sony_Ericsson
BABEL_BP_101_82217_20111115_191956_inLine.sph	82217	20111115	191956	82217	inLine	Central_Guangdong	F	CAR_KIT	54	CMCC	Philips
