outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel	sampleCount	sampleRate
BABEL_OP1_204_13189_20130613_161247_outLine.sph	13189	20130613	161247	13189	outLine	NORTHERN	M	HOME_OFFICE_MOBILE	22	VODAFONE	NOKIA	3888800	8000
BABEL_OP1_204_13189_20130613_161247_inLine.sph	13189	20130613	161247	13189	inLine	CENTRAL	M	MICROPHONE	23	VODAFONE	NOKIA	24931200	48000
BABEL_OP1_204_17881_20130219_205442_inLine.sph	17881	20130219	205442	17881	inLine	SOUTHERN	F	PUBLIC_PLACE	39	VODAFONE	NOKIA	4798720	8000
BABEL_OP1_204_17881_20130219_205442_outLine.sph	17881	20130219	205442	17881	outLine	SOUTHERN	F	HOME_OFFICE_MOBILE	41	AIRTEL	SAMSUNG	4802560	8000
BABEL_OP1_204_18924_20130224_150538_inLine.sph	18924	20130224	150538	18924	inLine	NORTHERN	M	STREET	52	BSNL	NOKIA	4796000	8000
BABEL_OP1_204_18924_20130224_150538_outLine.sph	18924	20130224	150538	18924	outLine	NORTHERN	M	STREET	37	AIRCEL	G-5	4800480	8000
BABEL_OP1_204_20682_20130209_174057_inLine.sph	20682	20130209	174057	20682	inLine	MADURAI	M	HOME_OFFICE_MOBILE	39	AIRTEL	NOKIA	4796480	8000
BABEL_OP1_204_20682_20130209_174057_outLine.sph	20682	20130209	174057	20682	outLine	MADURAI	F	HOME_OFFICE_MOBILE	24	IDEA	SAMSUNG	4799360	8000
BABEL_OP1_204_22021_20130818_153135_inLine.sph	22021	20130818	153135	22021	inLine	WESTERN	F	CAR_KIT	37	VODAFONE	SAMSUNG	4797600	8000
BABEL_OP1_204_22021_20130818_153135_outLine.sph	22021	20130818	153135	22021	outLine	WESTERN	F	HOME_OFFICE_MOBILE	39	AIRCEL	SAMSUNG	4802080	8000
BABEL_OP1_204_22288_20130820_021043_outLine.sph	22288	20130820	021043	22288	outLine	MADURAI	F	STREET	57	VODAFONE	NOKIA	621600	8000
BABEL_OP1_204_22288_20130820_022958_inLine.sph	22288	20130820	022958	22288	inLine	SOUTHERN	F	STREET	46	AIRTEL	NOKIA	4171680	8000
BABEL_OP1_204_22288_20130820_022958_outLine.sph	22288	20130820	022958	22288	outLine	MADURAI	F	STREET	57	VODAFONE	NOKIA	4177600	8000
BABEL_OP1_204_22288_20130820_021043_inLine.sph	22288	20130820	021043	22288	inLine	SOUTHERN	F	STREET	46	AIRTEL	NOKIA	620160	8000
BABEL_OP1_204_22466_20121213_214935_inLine.sph	22466	20121213	214935	22466	inLine	NORTHERN	M	HOME_OFFICE_MOBILE	23	UNKNOWN	UNKNOWN	4800160	8000
BABEL_OP1_204_22466_20121213_214935_outLine.sph	22466	20121213	214935	22466	outLine	NORTHERN	M	HOME_OFFICE_MOBILE	23	AIRTEL	UNKNOWN	4798880	8000
BABEL_OP1_204_23700_20130825_003724_inLine.sph	23700	20130825	003724	23700	inLine	MADURAI	F	VEHICLE	28	VODAFONE	UNKNOWN	3556800	8000
BABEL_OP1_204_23700_20130825_004922_inLine.sph	23700	20130825	004922	23700	inLine	MADURAI	F	VEHICLE	28	VODAFONE	UNKNOWN	1240000	8000
BABEL_OP1_204_23700_20130825_003724_outLine.sph	23700	20130825	003724	23700	outLine	MADURAI	F	HOME_OFFICE_MOBILE	23	UNKNOWN	UNKNOWN	3557600	8000
BABEL_OP1_204_23700_20130825_004922_outLine.sph	23700	20130825	004922	23700	outLine	MADURAI	F	HOME_OFFICE_MOBILE	23	UNKNOWN	UNKNOWN	1241920	8000
BABEL_OP1_204_24239_20130227_004742_outLine.sph	24239	20130227	004742	24239	outLine	NORTHERN	M	HOME_OFFICE_MOBILE	32	AIRTEL	SONY	4801440	8000
BABEL_OP1_204_24239_20130227_004742_inLine.sph	24239	20130227	004742	24239	inLine	NORTHERN	M	PUBLIC_PLACE	24	AIRCEL	Nokia	4798720	8000
BABEL_OP1_204_24290_20130228_200830_inLine.sph	24290	20130228	200830	24290	inLine	NORTHERN	F	VEHICLE	23	VODAFONE	NOKIA	4798720	8000
BABEL_OP1_204_24290_20130228_200830_outLine.sph	24290	20130228	200830	24290	outLine	NORTHERN	M	HOME_OFFICE_MOBILE	35	AIRTEL	NOKIA	4799840	8000
BABEL_OP1_204_24679_20130112_222528_inLine.sph	24679	20130112	222528	24679	inLine	CENTRAL	M	STREET	48	AIRTEL	APPLE	4797600	8000
BABEL_OP1_204_24679_20130112_222528_outLine.sph	24679	20130112	222528	24679	outLine	NORTHERN	M	STREET	25	AIRCEL	NOKIA	4777440	8000
BABEL_OP1_204_25895_20130830_022140_inLine.sph	25895	20130830	022140	25895	inLine	CENTRAL	F	VEHICLE	55	VODAFONE	NOKIA	4797120	8000
BABEL_OP1_204_25895_20130830_022140_outLine.sph	25895	20130830	022140	25895	outLine	NORTHERN	F	VEHICLE	55	AIRTEL	NOKIA	4800320	8000
BABEL_OP1_204_26602_20130215_003413_inLine.sph	26602	20130215	003413	26602	inLine	NORTHERN	F	VEHICLE	20	VODAFONE	SAMSUNG	4798560	8000
BABEL_OP1_204_26602_20130215_003413_outLine.sph	26602	20130215	003413	26602	outLine	NORTHERN	M	HOME_OFFICE_MOBILE	23	AIRCEL	NOKIA	4801440	8000
BABEL_OP1_204_27218_20130102_192252_outLine.sph	27218	20130102	192252	27218	outLine	NORTHERN	M	HOME_OFFICE_MOBILE	25	AIRTEL	SAMSUNG	4802080	8000
BABEL_OP1_204_27218_20130102_192252_inLine.sph	27218	20130102	192252	27218	inLine	NORTHERN	M	HOME_OFFICE_MOBILE	30	VODAFONE	NOKIA	4800320	8000
BABEL_OP1_204_28606_20130126_221856_inLine.sph	28606	20130126	221856	28606	inLine	NORTHERN	M	CAR_KIT	35	VODAFONE	SAMSUNG	4799520	8000
BABEL_OP1_204_28606_20130126_221856_outLine.sph	28606	20130126	221856	28606	outLine	NORTHERN	F	HOME_OFFICE_MOBILE	30	AIRTEL	NOKIA	4802720	8000
BABEL_OP1_204_28945_20130102_221003_inLine.sph	28945	20130102	221003	28945	inLine	NORTHERN	M	HOME_OFFICE_MOBILE	42	VODAFONE	SAMSUNG	4800000	8000
BABEL_OP1_204_28945_20130102_221003_outLine.sph	28945	20130102	221003	28945	outLine	NORTHERN	M	HOME_OFFICE_MOBILE	30	TATA_DOCOMO	MICROMAX	4801920	8000
BABEL_OP1_204_29076_20130222_205943_outLine.sph	29076	20130222	205943	29076	outLine	WESTERN	F	PUBLIC_PLACE	21	AIRTEL	NOKIA	4800000	8000
BABEL_OP1_204_29076_20130222_205943_inLine.sph	29076	20130222	205943	29076	inLine	WESTERN	F	PUBLIC_PLACE	22	VODAFONE	NOKIA	4799040	8000
BABEL_OP1_204_31624_20130107_221428_outLine.sph	31624	20130107	221428	31624	outLine	NORTHERN	F	PUBLIC_PLACE	22	AIRTEL	NOKIA	4802080	8000
BABEL_OP1_204_31624_20130107_221428_inLine.sph	31624	20130107	221428	31624	inLine	NORTHERN	M	PUBLIC_PLACE	22	VODAFONE	NOKIA	4799360	8000
BABEL_OP1_204_32287_20130902_231135_outLine.sph	32287	20130902	231135	32287	outLine	MADURAI	M	PUBLIC_PLACE	30	UNKNOWN	UNKNOWN	4800960	8000
BABEL_OP1_204_32287_20130902_231135_inLine.sph	32287	20130902	231135	32287	inLine	CENTRAL	F	VEHICLE	31	AIRTEL	UNKNOWN	4800160	8000
BABEL_OP1_204_33672_20130115_033234_inLine.sph	33672	20130115	033234	33672	inLine	WESTERN	M	HOME_OFFICE_MOBILE	24	VODAFONE	SAMSUNG	4775840	8000
BABEL_OP1_204_33672_20130115_033234_outLine.sph	33672	20130115	033234	33672	outLine	NORTHERN	M	HOME_OFFICE_MOBILE	45	TATA_DOCOMO	TATA_DOCOMO	4780320	8000
BABEL_OP1_204_37290_20130707_161547_inLine.sph	37290	20130707	161547	37290	inLine	WESTERN	F	HOME_OFFICE_LANDLINE	26	UNKNOWN	UNKNOWN	4798720	8000
BABEL_OP1_204_37290_20130707_161547_outLine.sph	37290	20130707	161547	37290	outLine	WESTERN	F	HOME_OFFICE_LANDLINE	30	RELIANCE	RELIANCE	4802080	8000
BABEL_OP1_204_37594_20130805_155303_outLine.sph	37594	20130805	155303	37594	outLine	MADURAI	M	HOME_OFFICE_MOBILE	33	AIRCEL	NOKIA	4802720	8000
BABEL_OP1_204_37594_20130805_155303_inLine.sph	37594	20130805	155303	37594	inLine	SOUTHERN	M	HOME_OFFICE_LANDLINE	32	RELIANCE	RELIANCE	4800480	8000
