outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel
BABEL_BP_104_93300_20120221_135558_inLine.sph	93300	20120221	135558	93300	inLine	NorthEast	F	HOME_OFFICE_MOBILE	26	Ufone	Nokia
BABEL_BP_104_93300_20120221_135558_outLine.sph	93300	20120221	135558	93300	outLine	NorthEast	F	HOME_OFFICE_MOBILE	20	Warid	Nokia
BABEL_BP_104_42006_20120304_162643_outLine.sph	42006	20120304	162643	42006	outLine	NorthWest	F	HOME_OFFICE_MOBILE	30	Telenor	Nokia
BABEL_BP_104_42006_20120304_162643_inLine.sph	42006	20120304	162643	42006	inLine	NorthWest	F	HOME_OFFICE_MOBILE	35	Telenor	Nokia
BABEL_BP_104_44976_20120128_211450_outLine.sph	44976	20120128	211450	44976	outLine	NorthEast	F	HOME_OFFICE_MOBILE	25	Ufone	Nokia
BABEL_BP_104_44976_20120128_211450_inLine.sph	44976	20120128	211450	44976	inLine	NorthEast	M	HOME_OFFICE_MOBILE	28	Telenor	Nokia
BABEL_BP_104_24235_20120209_030431_outLine.sph	24235	20120209	030431	24235	outLine	NorthEast	M	HOME_OFFICE_MOBILE	25	Mobilink	Nokia
BABEL_BP_104_68926_20120229_145934_inLine.sph	68926	20120229	145934	68926	inLine	NorthEast	M	HOME_OFFICE_MOBILE	32	Telenor	Nokia
BABEL_BP_104_68926_20120229_145934_outLine.sph	68926	20120229	145934	68926	outLine	NorthEast	M	STREET	41	Telenor	Nokia
BABEL_BP_104_46455_20120218_222247_outLine.sph	46455	20120218	222247	46455	outLine	NorthEast	F	HOME_OFFICE_MOBILE	27	Ufone	Nokia
BABEL_BP_104_46455_20120218_222247_inLine.sph	46455	20120218	222247	46455	inLine	NorthEast	F	HOME_OFFICE_MOBILE	24	Warid	Nokia
BABEL_BP_104_33518_20120218_204645_inLine.sph	33518	20120218	204645	33518	inLine	NorthWest	F	HOME_OFFICE_MOBILE	22	Ufone	Nokia
BABEL_BP_104_33518_20120218_204645_outLine.sph	33518	20120218	204645	33518	outLine	NorthWest	F	HOME_OFFICE_MOBILE	26	Ufone	Nokia
BABEL_BP_104_71970_20120310_195048_inLine.sph	71970	20120310	195048	71970	inLine	NorthWest	F	HOME_OFFICE_MOBILE	32	Ufone	Nokia
