outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel
BABEL_BP_107_22898_20120322_144401_inLine.sph	22898	20120322	144401	22898	inLine	South	M	STREET	20	Viettel	Nokia
BABEL_BP_107_22898_20120322_144401_outLine.sph	22898	20120322	144401	22898	outLine	South	F	PUBLIC_PLACE	19	FPT	Nokia
BABEL_BP_107_25866_20120426_193335_inLine.sph	25866	20120426	193335	25866	inLine	South	F	VEHICLE	20	Viettel	Nokia
BABEL_BP_107_39384_20120324_010939_inLine.sph	39384	20120324	010939	39384	inLine	South	M	PUBLIC_PLACE	32	Vietnammobile	Nokia
BABEL_BP_107_39384_20120324_010939_outLine.sph	39384	20120324	010939	39384	outLine	South	F	PUBLIC_PLACE	29	Viettel	Samsung
BABEL_BP_107_39384_20120324_011832_outLine.sph	39384	20120324	011832	39384	outLine	South	F	PUBLIC_PLACE	29	Viettel	Samsung
BABEL_BP_107_39384_20120324_011832_inLine.sph	39384	20120324	011832	39384	inLine	South	M	PUBLIC_PLACE	32	Vietnammobile	Nokia
BABEL_BP_107_16950_20120704_155322_outLine.sph	16950	20120704	155322	16950	outLine	North	M	HOME_OFFICE_LANDLINE	49	Viettel	Viettel
BABEL_BP_107_16950_20120704_155322_inLine.sph	16950	20120704	155322	16950	inLine	North	M	HOME_OFFICE_LANDLINE	47	Viettel	Viettel
BABEL_BP_107_92603_20120416_011244_outLine.sph	92603	20120416	011244	92603	outLine	North	F	HOME_OFFICE_MOBILE	22	Viettel	Nokia
BABEL_BP_107_92603_20120416_011244_inLine.sph	92603	20120416	011244	92603	inLine	North	F	STREET	22	Vinaphone	Nokia
BABEL_BP_107_99571_20120322_165034_inLine.sph	99571	20120322	165034	99571	inLine	North	M	HOME_OFFICE_LANDLINE	18	VNPT	Panasonic
BABEL_BP_107_99571_20120322_165034_outLine.sph	99571	20120322	165034	99571	outLine	North	F	HOME_OFFICE_MOBILE	21	Viettel	LG
