outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel	sampleCount	sampleRate
BABEL_OP1_203_10188_20130220_230849_inLine.sph	10188	20130220	230849	10188	inLine	VIENTIANE	M	HOME_OFFICE_MOBILE	22	LAOTEL	NOKIA	1616320	8000
BABEL_OP1_203_10188_20130220_225432_inLine.sph	10188	20130220	225432	10188	inLine	VIENTIANE	M	HOME_OFFICE_MOBILE	22	LAOTEL	NOKIA	3182880	8000
BABEL_OP1_203_10188_20130220_225432_outLine.sph	10188	20130220	225432	10188	outLine	VIENTIANE	F	HOME_OFFICE_MOBILE	20	UNKNOWN	UNKNOWN	3184320	8000
BABEL_OP1_203_10188_20130220_230849_outLine.sph	10188	20130220	230849	10188	outLine	VIENTIANE	F	HOME_OFFICE_MOBILE	20	UNKNOWN	UNKNOWN	1617120	8000
BABEL_OP1_203_10319_20130314_214749_inLine.sph	10319	20130314	214749	10319	inLine	VIENTIANE	M	STREET	33	LAOTEL	NOKIA	2176320	8000
BABEL_OP1_203_10319_20130314_213741_outLine.sph	10319	20130314	213741	10319	outLine	VIENTIANE	M	HOME_OFFICE_MOBILE	30	ETL	NOKIA	2624320	8000
BABEL_OP1_203_10319_20130314_214749_outLine.sph	10319	20130314	214749	10319	outLine	VIENTIANE	M	HOME_OFFICE_MOBILE	30	ETL	NOKIA	2178720	8000
BABEL_OP1_203_10319_20130314_213741_inLine.sph	10319	20130314	213741	10319	inLine	VIENTIANE	M	STREET	33	LAOTEL	NOKIA	2622720	8000
BABEL_OP1_203_14158_20130409_182411_outLine.sph	14158	20130409	182411	14158	outLine	VIENTIANE	F	HOME_OFFICE_MOBILE	20	ETL	NOKIA	884640	8000
BABEL_OP1_203_14158_20130409_182411_inLine.sph	14158	20130409	182411	14158	inLine	VIENTIANE	M	CAR_KIT	22	LAOTEL	SAMSUNG	884160	8000
BABEL_OP1_203_14158_20130409_181505_inLine.sph	14158	20130409	181505	14158	inLine	VIENTIANE	M	CAR_KIT	22	LAOTEL	SAMSUNG	2525440	8000
BABEL_OP1_203_14158_20130409_183108_outLine.sph	14158	20130409	183108	14158	outLine	VIENTIANE	F	HOME_OFFICE_MOBILE	20	ETL	NOKIA	1393600	8000
