outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel	sampleCount	sampleRate
BABEL_OP1_201_10019_20130527_022947_inLine.sph	10019	20130527	022947	10019	inLine	SOUTHERN	M	PUBLIC_PLACE	31	DIGICEL	NOKIA	4800160	8000
BABEL_OP1_201_10019_20130527_022947_outLine.sph	10019	20130527	022947	10019	outLine	SOUTHERN	F	HOME_OFFICE_MOBILE	19	DIGICEL	NOKIA	4802080	8000
BABEL_OP1_201_10319_20130306_021244_inLine.sph	10319	20130306	021244	10319	inLine	SOUTHERN	M	HOME_OFFICE_MOBILE	34	DIGICEL	UNKNOWN	4799680	8000
BABEL_OP1_201_10319_20130306_021244_outLine.sph	10319	20130306	021244	10319	outLine	SOUTHERN	F	HOME_OFFICE_MOBILE	33	DIGICEL	UNKNOWN	4801600	8000
BABEL_OP1_201_14440_20130302_012105_inLine.sph	14440	20130302	012105	14440	inLine	WESTERN	M	HOME_OFFICE_MOBILE	45	DIGICEL	NOKIA	4799520	8000
BABEL_OP1_201_14440_20130302_012105_outLine.sph	14440	20130302	012105	14440	outLine	NORTHERN	M	HOME_OFFICE_MOBILE	37	DIGICEL	UNKNOWN	4801280	8000
BABEL_OP1_201_15324_20130228_031225_inLine.sph	15324	20130228	031225	15324	inLine	WESTERN	F	HOME_OFFICE_MOBILE	23	DIGICEL	SAMSUNG	4799680	8000
BABEL_OP1_201_15324_20130228_031225_outLine.sph	15324	20130228	031225	15324	outLine	WESTERN	F	STREET	21	DIGICEL	UNKNOWN	4801280	8000
BABEL_OP1_201_15535_20130305_062354_inLine.sph	15535	20130305	062354	15535	inLine	WESTERN	F	VEHICLE	26	DIGICEL	NOKIA	4799840	8000
BABEL_OP1_201_15535_20130305_062354_outLine.sph	15535	20130305	062354	15535	outLine	WESTERN	F	HOME_OFFICE_MOBILE	26	DIGICEL	BLU	4801440	8000
BABEL_OP1_201_15638_20130305_060156_inLine.sph	15638	20130305	060156	15638	inLine	NORTHERN	M	HOME_OFFICE_MOBILE	39	DIGICEL	VIETTEL	4799680	8000
BABEL_OP1_201_15638_20130305_060156_outLine.sph	15638	20130305	060156	15638	outLine	WESTERN	M	HOME_OFFICE_MOBILE	34	DIGICEL	VIETTEL	4802400	8000
BABEL_OP1_201_16184_20130305_081912_inLine.sph	16184	20130305	081912	16184	inLine	WESTERN	M	HOME_OFFICE_MOBILE	39	DIGICEL	UNKNOWN	4799840	8000
BABEL_OP1_201_16184_20130305_081912_outLine.sph	16184	20130305	081912	16184	outLine	NORTHERN	F	HOME_OFFICE_MOBILE	28	DIGICEL	UNKNOWN	4801440	8000
BABEL_OP1_201_21029_20130529_114410_inLine.sph	21029	20130529	114410	21029	inLine	SOUTHERN	F	CAR_KIT	18	DIGICEL	NATCOM	4272160	8000
BABEL_OP1_201_21029_20130529_114410_outLine.sph	21029	20130529	114410	21029	outLine	SOUTHERN	M	VEHICLE	21	DIGICEL	SAMSUNG	4273440	8000
BABEL_OP1_201_21029_20130529_115127_inLine.sph	21029	20130529	115127	21029	inLine	SOUTHERN	F	CAR_KIT	18	DIGICEL	NATCOM	528320	8000
BABEL_OP1_201_21029_20130529_115127_outLine.sph	21029	20130529	115127	21029	outLine	SOUTHERN	M	VEHICLE	21	DIGICEL	SAMSUNG	530720	8000
BABEL_OP1_201_21109_20130414_085917_inLine.sph	21109	20130414	085917	21109	inLine	WESTERN	F	PUBLIC_PLACE	18	DIGICEL	SAMSUNG	4799680	8000
BABEL_OP1_201_21109_20130414_085917_outLine.sph	21109	20130414	085917	21109	outLine	WESTERN	M	STREET	22	DIGICEL	BLACKBERRY	4800960	8000
BABEL_OP1_201_21393_20130501_071647_inLine.sph	21393	20130501	071647	21393	inLine	SOUTHERN	F	CAR_KIT	23	DIGICEL	NATCOM	4799680	8000
BABEL_OP1_201_21393_20130501_071647_outLine.sph	21393	20130501	071647	21393	outLine	WESTERN	M	STREET	30	DIGICEL	UNKNOWN	4801760	8000
BABEL_OP1_201_23151_20130428_054353_inLine.sph	23151	20130428	054353	23151	inLine	NORTHERN	M	STREET	47	DIGICEL	ZTE	4799840	8000
BABEL_OP1_201_23151_20130428_054353_outLine.sph	23151	20130428	054353	23151	outLine	NORTHERN	M	HOME_OFFICE_MOBILE	20	DIGICEL	UNKNOWN	4802080	8000
BABEL_OP1_201_23983_20130503_023139_inLine.sph	23983	20130503	023139	23983	inLine	SOUTHERN	F	VEHICLE	46	DIGICEL	NOKIA	4226880	8000
BABEL_OP1_201_23983_20130503_023139_outLine.sph	23983	20130503	023139	23983	outLine	WESTERN	F	HOME_OFFICE_MOBILE	32	DIGICEL	UNKNOWN	4231040	8000
BABEL_OP1_201_23983_20130503_023729_inLine.sph	23983	20130503	023729	23983	inLine	SOUTHERN	F	VEHICLE	46	DIGICEL	NOKIA	568320	8000
BABEL_OP1_201_23983_20130503_023729_outLine.sph	23983	20130503	023729	23983	outLine	WESTERN	F	HOME_OFFICE_MOBILE	32	DIGICEL	UNKNOWN	570240	8000
BABEL_OP1_201_26074_20130522_003756_inLine.sph	26074	20130522	003756	26074	inLine	WESTERN	F	MICROPHONE	26	DIGICEL	NOKIA	29902720	48000
BABEL_OP1_201_26074_20130522_003756_outLine.sph	26074	20130522	003756	26074	outLine	WESTERN	M	PUBLIC_PLACE	27	DIGICEL	UNKNOWN	4802080	8000
BABEL_OP1_201_26206_20130302_073520_inLine.sph	26206	20130302	073520	26206	inLine	WESTERN	M	HOME_OFFICE_MOBILE	45	DIGICEL	BLU	4799680	8000
BABEL_OP1_201_26206_20130302_073520_outLine.sph	26206	20130302	073520	26206	outLine	SOUTHERN	M	HOME_OFFICE_MOBILE	24	DIGICEL	UNKNOWN	4801120	8000
BABEL_OP1_201_32832_20130430_060411_inLine.sph	32832	20130430	060411	32832	inLine	NORTHERN	F	CAR_KIT	46	DIGICEL	NOKIA	4799680	8000
BABEL_OP1_201_32832_20130430_060411_outLine.sph	32832	20130430	060411	32832	outLine	NORTHERN	F	HOME_OFFICE_MOBILE	36	DIGICEL	UNKNOWN	4802080	8000
BABEL_OP1_201_32861_20130429_111248_inLine.sph	32861	20130429	111248	32861	inLine	NORTHERN	F	CAR_KIT	25	DIGICEL	BLACKBERRY	4799840	8000
BABEL_OP1_201_32861_20130429_111248_outLine.sph	32861	20130429	111248	32861	outLine	NORTHERN	F	STREET	34	DIGICEL	UNKNOWN	4801600	8000
BABEL_OP1_201_32998_20130531_000201_inLine.sph	32998	20130531	000201	32998	inLine	NORTHERN	F	MICROPHONE	57	DIGICEL	NOKIA	29759872	48000
BABEL_OP1_201_32998_20130531_000201_outLine.sph	32998	20130531	000201	32998	outLine	WESTERN	F	STREET	35	DIGICEL	UNKNOWN	4801440	8000
