outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel	sampleCount	sampleRate
BABEL_OP1_206_14350_20121123_042710_inLine.sph	14350	20121123	042710	14350	inLine	DURBAN	F	HOME_OFFICE_MOBILE	45	MTN	BLACKBERRY	4720320	8000
BABEL_OP1_206_14350_20121123_042710_outLine.sph	14350	20121123	042710	14350	outLine	DURBAN	F	HOME_OFFICE_MOBILE	42	VODACOM	BLACKBERRY	4721440	8000
BABEL_OP1_206_15042_20130124_002208_inLine.sph	15042	20130124	002208	15042	inLine	DURBAN	M	HOME_OFFICE_MOBILE	20	CELL_C	NOKIA	4236960	8000
BABEL_OP1_206_15042_20130124_002208_outLine.sph	15042	20130124	002208	15042	outLine	DURBAN	M	HOME_OFFICE_MOBILE	21	MTN	SAMSUNG	4238240	8000
BABEL_OP1_206_15042_20130124_003815_inLine.sph	15042	20130124	003815	15042	inLine	DURBAN	M	HOME_OFFICE_MOBILE	20	CELL_C	NOKIA	560160	8000
BABEL_OP1_206_15042_20130124_003815_outLine.sph	15042	20130124	003815	15042	outLine	DURBAN	M	HOME_OFFICE_MOBILE	21	MTN	SAMSUNG	562400	8000
BABEL_OP1_206_15163_20121129_232215_inLine.sph	15163	20121129	232215	15163	inLine	DURBAN	M	HOME_OFFICE_MOBILE	48	VODACOM	SAMSUNG	4800160	8000
BABEL_OP1_206_15163_20121129_232215_outLine.sph	15163	20121129	232215	15163	outLine	DURBAN	M	HOME_OFFICE_MOBILE	60	MTN	NOKIA	4802560	8000
BABEL_OP1_206_19621_20121219_031810_inLine.sph	19621	20121219	031810	19621	inLine	DURBAN	F	VEHICLE	27	CELL_C	BLACKBERRY	4496800	8000
BABEL_OP1_206_19621_20121219_031810_outLine.sph	19621	20121219	031810	19621	outLine	DURBAN	F	HOME_OFFICE_MOBILE	57	VODACOM	SAMSUNG	4497280	8000
BABEL_OP1_206_19663_20121219_173010_inLine.sph	19663	20121219	173010	19663	inLine	DURBAN	M	CAR_KIT	54	VODACOM	NOKIA	4796640	8000
BABEL_OP1_206_19663_20121219_173010_outLine.sph	19663	20121219	173010	19663	outLine	DURBAN	F	HOME_OFFICE_MOBILE	34	MTN	BLACKBERRY	4798560	8000
BABEL_OP1_206_22466_20121130_231814_inLine.sph	22466	20121130	231814	22466	inLine	DURBAN	F	HOME_OFFICE_MOBILE	19	VODACOM	NOKIA	4629600	8000
BABEL_OP1_206_22466_20121130_231814_outLine.sph	22466	20121130	231814	22466	outLine	DURBAN	F	HOME_OFFICE_MOBILE	18	CELL_C	BLACKBERRY	4631680	8000
BABEL_OP1_206_23995_20121215_221537_inLine.sph	23995	20121215	221537	23995	inLine	DURBAN	M	VEHICLE	31	MTN	NOKIA	4695360	8000
BABEL_OP1_206_23995_20121215_221537_outLine.sph	23995	20121215	221537	23995	outLine	DURBAN	F	HOME_OFFICE_MOBILE	20	MTN	NOKIA	4697440	8000
BABEL_OP1_206_26999_20121213_022027_inLine.sph	26999	20121213	022027	26999	inLine	DURBAN	F	PUBLIC_PLACE	31	VODACOM	NOKIA	4800320	8000
BABEL_OP1_206_26999_20121213_022027_outLine.sph	26999	20121213	022027	26999	outLine	DURBAN	F	PUBLIC_PLACE	40	VODACOM	NOKIA	4802720	8000
BABEL_OP1_206_28190_20121213_031401_inLine.sph	28190	20121213	031401	28190	inLine	DURBAN	M	PUBLIC_PLACE	32	VODACOM	NOKIA	4218400	8000
BABEL_OP1_206_28190_20121213_031401_outLine.sph	28190	20121213	031401	28190	outLine	DURBAN	F	HOME_OFFICE_MOBILE	43	VODACOM	NOKIA	4429440	8000
BABEL_OP1_206_28606_20121215_000631_inLine.sph	28606	20121215	000631	28606	inLine	DURBAN	F	PUBLIC_PLACE	48	MTN	NOKIA	4799680	8000
BABEL_OP1_206_28606_20121215_000631_outLine.sph	28606	20121215	000631	28606	outLine	DURBAN	F	HOME_OFFICE_MOBILE	43	MTN	SAMSUNG	4802720	8000
BABEL_OP1_206_31182_20121222_050854_inLine.sph	31182	20121222	050854	31182	inLine	DURBAN	M	HOME_OFFICE_MOBILE	33	VODACOM	NOKIA	4800480	8000
BABEL_OP1_206_31182_20121222_050854_outLine.sph	31182	20121222	050854	31182	outLine	DURBAN	F	HOME_OFFICE_MOBILE	35	MTN	NOKIA	4801440	8000
BABEL_OP1_206_32727_20130601_012544_inLine.sph	32727	20130601	012544	32727	inLine	DURBAN	M	MICROPHONE	30	MTN	NOKIA	30401920	48000
BABEL_OP1_206_32727_20130601_012544_outLine.sph	32727	20130601	012544	32727	outLine	DURBAN	F	HOME_OFFICE_MOBILE	26	VODACOM	NOKIA	4800160	8000
BABEL_OP1_206_34477_20121130_183409_inLine.sph	34477	20121130	183409	34477	inLine	DURBAN	M	VEHICLE	41	CELL_C	NOKIA	3013120	8000
BABEL_OP1_206_34477_20121130_183409_outLine.sph	34477	20121130	183409	34477	outLine	DURBAN	F	HOME_OFFICE_MOBILE	27	CELL_C	NOKIA	3016160	8000
BABEL_OP1_206_34477_20121130_184826_inLine.sph	34477	20121130	184826	34477	inLine	DURBAN	M	VEHICLE	41	CELL_C	NOKIA	1784160	8000
BABEL_OP1_206_34477_20121130_184826_outLine.sph	34477	20121130	184826	34477	outLine	DURBAN	F	HOME_OFFICE_MOBILE	27	CELL_C	NOKIA	1783680	8000
BABEL_OP1_206_34899_20130602_004027_inLine.sph	34899	20130602	004027	34899	inLine	DURBAN	F	MICROPHONE	47	MTN	NOKIA	30233472	48000
BABEL_OP1_206_34899_20130602_004027_outLine.sph	34899	20130602	004027	34899	outLine	DURBAN	F	PUBLIC_PLACE	51	VODACOM	NOKIA	4802400	8000
BABEL_OP1_206_35583_20130529_005600_inLine.sph	35583	20130529	005600	35583	inLine	DURBAN	M	MICROPHONE	46	VODACOM	ALCATEL	31914880	48000
BABEL_OP1_206_35583_20130529_005600_outLine.sph	35583	20130529	005600	35583	outLine	DURBAN	M	HOME_OFFICE_MOBILE	58	VODACOM	NOKIA	4802240	8000
BABEL_OP1_206_36219_20121130_184946_inLine.sph	36219	20121130	184946	36219	inLine	DURBAN	M	VEHICLE	30	MTN	SAMSUNG	4800160	8000
BABEL_OP1_206_36219_20121130_184946_outLine.sph	36219	20121130	184946	36219	outLine	DURBAN	F	HOME_OFFICE_MOBILE	20	MTN	SAMSUNG	4799680	8000
BABEL_OP1_206_36594_20130601_002535_inLine.sph	36594	20130601	002535	36594	inLine	DURBAN	M	MICROPHONE	37	UNKNOWN	UNKNOWN	29852544	48000
BABEL_OP1_206_36594_20130601_002535_outLine.sph	36594	20130601	002535	36594	outLine	DURBAN	M	HOME_OFFICE_MOBILE	45	UNKNOWN	UNKNOWN	4802080	8000
BABEL_OP1_206_36990_20121130_212128_inLine.sph	36990	20121130	212128	36990	inLine	DURBAN	M	VEHICLE	46	MTN	NOKIA	1291840	8000
BABEL_OP1_206_36990_20121130_212128_outLine.sph	36990	20121130	212128	36990	outLine	DURBAN	M	HOME_OFFICE_MOBILE	37	MTN	NOKIA	1294880	8000
BABEL_OP1_206_36990_20121130_213230_inLine.sph	36990	20121130	213230	36990	inLine	DURBAN	M	VEHICLE	46	MTN	NOKIA	2278240	8000
BABEL_OP1_206_36990_20121130_213230_outLine.sph	36990	20121130	213230	36990	outLine	DURBAN	M	HOME_OFFICE_MOBILE	37	MTN	NOKIA	2279360	8000
BABEL_OP1_206_36990_20121130_220005_inLine.sph	36990	20121130	220005	36990	inLine	DURBAN	M	VEHICLE	46	MTN	NOKIA	1232000	8000
BABEL_OP1_206_36990_20121130_220005_outLine.sph	36990	20121130	220005	36990	outLine	DURBAN	M	HOME_OFFICE_MOBILE	37	MTN	NOKIA	1233120	8000
BABEL_OP1_206_40740_20121214_002216_inLine.sph	40740	20121214	002216	40740	inLine	DURBAN	M	STREET	50	8TA	SONY_ERICSSON	4800320	8000
BABEL_OP1_206_40740_20121214_002216_outLine.sph	40740	20121214	002216	40740	outLine	DURBAN	F	HOME_OFFICE_MOBILE	25	MTN	MOTOROLLA	4802560	8000
BABEL_OP1_206_41100_20121129_002525_inLine.sph	41100	20121129	002525	41100	inLine	DURBAN	F	PUBLIC_PLACE	46	CELL_C	NOKIA	2322720	8000
BABEL_OP1_206_41100_20121129_002525_outLine.sph	41100	20121129	002525	41100	outLine	DURBAN	F	HOME_OFFICE_MOBILE	29	CELL_C	NOKIA	2324800	8000
BABEL_OP1_206_41100_20121129_003855_inLine.sph	41100	20121129	003855	41100	inLine	DURBAN	F	PUBLIC_PLACE	46	CELL_C	NOKIA	2472160	8000
BABEL_OP1_206_41100_20121129_003855_outLine.sph	41100	20121129	003855	41100	outLine	DURBAN	F	HOME_OFFICE_MOBILE	29	CELL_C	NOKIA	2471360	8000
BABEL_OP1_206_41493_20121128_222116_inLine.sph	41493	20121128	222116	41493	inLine	DURBAN	F	PUBLIC_PLACE	30	MTN	BLACKBERRY	1912000	8000
BABEL_OP1_206_41493_20121128_222116_outLine.sph	41493	20121128	222116	41493	outLine	DURBAN	F	HOME_OFFICE_MOBILE	30	VODACOM	NOKIA	1914880	8000
BABEL_OP1_206_41493_20121128_230231_inLine.sph	41493	20121128	230231	41493	inLine	DURBAN	F	PUBLIC_PLACE	30	MTN	BLACKBERRY	2887360	8000
BABEL_OP1_206_41493_20121128_230231_outLine.sph	41493	20121128	230231	41493	outLine	DURBAN	F	HOME_OFFICE_MOBILE	30	VODACOM	NOKIA	2890560	8000
BABEL_OP1_206_41920_20121129_204231_inLine.sph	41920	20121129	204231	41920	inLine	DURBAN	F	MICROPHONE	45	VODACOM	SAMSUNG	30984576	48000
BABEL_OP1_206_41920_20121129_204231_outLine.sph	41920	20121129	204231	41920	outLine	DURBAN	F	HOME_OFFICE_MOBILE	37	MTN	NOKIA	4802560	8000
BABEL_OP1_206_42600_20121206_212006_inLine.sph	42600	20121206	212006	42600	inLine	DURBAN	M	STREET	31	MTN	NOKIA	4800160	8000
BABEL_OP1_206_42600_20121206_212006_outLine.sph	42600	20121206	212006	42600	outLine	DURBAN	M	STREET	32	CELL_C	NOKIA	4800480	8000
BABEL_OP1_206_43646_20121206_213819_inLine.sph	43646	20121206	213819	43646	inLine	DURBAN	F	VEHICLE	23	VODACOM	MOTOROLLA	4800160	8000
BABEL_OP1_206_43646_20121206_213819_outLine.sph	43646	20121206	213819	43646	outLine	DURBAN	F	HOME_OFFICE_MOBILE	25	VODACOM	SAMSUNG	4802560	8000
BABEL_OP1_206_47877_20121212_233516_inLine.sph	47877	20121212	233516	47877	inLine	DURBAN	M	HOME_OFFICE_MOBILE	47	MTN	NOKIA	1328640	8000
BABEL_OP1_206_47877_20121212_233516_outLine.sph	47877	20121212	233516	47877	outLine	DURBAN	M	HOME_OFFICE_MOBILE	42	VODACOM	NOKIA	1331200	8000
BABEL_OP1_206_47877_20121213_000206_inLine.sph	47877	20121213	000206	47877	inLine	DURBAN	M	HOME_OFFICE_MOBILE	47	MTN	NOKIA	973920	8000
BABEL_OP1_206_47877_20121213_000206_outLine.sph	47877	20121213	000206	47877	outLine	DURBAN	M	HOME_OFFICE_MOBILE	42	VODACOM	NOKIA	976160	8000
BABEL_OP1_206_47877_20121213_030248_inLine.sph	47877	20121213	030248	47877	inLine	DURBAN	M	HOME_OFFICE_MOBILE	47	MTN	NOKIA	2504160	8000
