outputFn	sessID	date	time	spkrCode	lineType	dialect	gen	envType	age	network	phoneModel
BABEL_BP_105_39384_20120525_200904_outLine.sph	39384	20120525	200904	39384	outLine	CENTRAL_ANATOLIAN	M	PUBLIC_PLACE	20	AVEA	BLACKBERRY
BABEL_BP_105_39384_20120525_200159_outLine.sph	39384	20120525	200159	39384	outLine	CENTRAL_ANATOLIAN	M	PUBLIC_PLACE	20	AVEA	BLACKBERRY
BABEL_BP_105_68276_20120530_043559_inLine.sph	68276	20120530	043559	68276	inLine	MARMARA	F	STREET	23	AVEA	SAMSUNG
BABEL_BP_105_68276_20120530_043600_outLine.sph	68276	20120530	043600	68276	outLine	MARMARA	F	HOME_OFFICE_MOBILE	21	VODAFONE	IPHONE
BABEL_BP_105_16617_20120315_024321_outLine.sph	16617	20120315	024321	16617	outLine	CENTRAL_ANATOLIAN	M	HOME_OFFICE_MOBILE	26	AVEA	SAMSUNG
BABEL_BP_105_16617_20120315_024321_inLine.sph	16617	20120315	024321	16617	inLine	CENTRAL_ANATOLIAN	M	HOME_OFFICE_LANDLINE	24	TURK_TELEKOM	KAREL
BABEL_BP_105_96302_20120518_220402_outLine.sph	96302	20120518	220402	96302	outLine	SOUTH_EASTERN_ANATOLIA	M	STREET	23	TURKCELL	SAMSUNG
BABEL_BP_105_96302_20120518_220402_inLine.sph	96302	20120518	220402	96302	inLine	SOUTH_EASTERN_ANATOLIA	M	STREET	23	TURKCELL	SAMSUNG
BABEL_BP_105_64889_20120430_041923_inLine.sph	64889	20120430	041923	64889	inLine	CENTRAL_ANATOLIAN	F	HOME_OFFICE_MOBILE	33	AVEA	NOKIA
BABEL_BP_105_64889_20120430_041923_outLine.sph	64889	20120430	041923	64889	outLine	CENTRAL_ANATOLIAN	F	HOME_OFFICE_MOBILE	33	AVEA	NOKIA
BABEL_BP_105_10973_20120604_181602_inLine.sph	10973	20120604	181602	10973	inLine	EAST_ANATOLIA	F	HOME_OFFICE_MOBILE	32	AVEA	SAMSUNG
BABEL_BP_105_10973_20120604_181602_outLine.sph	10973	20120604	181602	10973	outLine	EAST_ANATOLIA	M	HOME_OFFICE_LANDLINE	43	TURK_TELEKOM	KAREL
